"Município","Pedestre","Ciclista","Motociclista","triciclo","automóvel","caminhonete","transp_pesado","ônibus","Outros","Total"
"210275 Capinzal do Norte",0,0,1,0,0,0,0,0,0,1
"210280 Carolina",0,0,1,0,1,0,2,0,3,7
"210290 Carutapera",0,0,1,0,0,0,0,0,0,1
"210300 Caxias",13,0,28,0,7,1,0,0,12,61
"210312 Central do Maranhão",0,0,3,0,0,0,0,0,0,3
"210315 Centro do Guilherme",0,0,3,0,1,0,0,0,0,4
"210317 Centro Novo do Maranhão",0,0,1,0,0,0,0,0,0,1
"210320 Chapadinha",1,0,5,0,1,1,0,0,6,14
"210325 Cidelândia",1,0,3,0,0,0,3,0,0,7
"210330 Codó",2,1,9,0,2,0,0,0,0,14
"210340 Coelho Neto",0,0,6,0,1,0,0,0,0,7
"210350 Colinas",1,0,7,0,0,0,1,0,0,9
"210360 Coroatá",3,1,12,0,0,0,0,0,4,20
"210370 Cururupu",0,1,3,0,0,0,0,0,1,5
"210375 Davinópolis",0,0,2,0,0,0,0,0,0,2
"210380 Dom Pedro",1,0,1,0,0,0,0,0,2,4
"210390 Duque Bacelar",0,0,1,0,1,0,0,0,0,2
"210400 Esperantinópolis",0,0,2,0,0,0,0,0,0,2
"210405 Estreito",0,0,5,0,3,0,1,0,1,10
"210408 Fernando Falcão",0,0,1,0,0,0,0,0,0,1
"210409 Formosa da Serra Negra",1,0,0,0,0,0,0,0,0,1
"210410 Fortaleza dos Nogueiras",0,0,5,0,1,0,0,0,0,6
"210420 Fortuna",2,0,2,0,0,0,0,0,0,4
"210430 Godofredo Viana",0,0,0,0,0,0,0,0,1,1
"210440 Gonçalves Dias",0,0,2,0,0,0,0,0,0,2
"210450 Governador Archer",0,0,1,0,1,0,0,0,0,2
"210455 Governador Edison Lobão",3,0,3,0,2,0,0,0,1,9
"210460 Governador Eugênio Barros",0,0,1,0,0,0,0,0,0,1
"210467 Governador Nunes Freire",2,0,7,0,1,0,0,0,1,11
"210480 Grajaú",4,0,15,0,2,0,0,0,0,21
"210490 Guimarães",0,0,2,0,1,0,0,0,0,3
"210500 Humberto de Campos",0,1,0,0,0,0,0,0,0,1
"210515 Igarapé do Meio",1,0,1,0,0,0,0,0,0,2
"210520 Igarapé Grande",0,0,1,0,0,0,0,0,0,1
"210530 Imperatriz",23,6,82,0,10,0,0,0,8,129
"210535 Itaipava do Grajaú",1,0,4,0,0,0,0,0,0,5
"210540 Itapecuru Mirim",3,0,3,0,1,0,0,0,7,14
"210542 Itinga do Maranhão",0,0,6,0,0,0,0,0,1,7
"210545 Jatobá",0,0,2,0,0,0,1,1,0,4
"210547 Jenipapo dos Vieiras",0,0,0,0,0,0,0,0,1,1
"210550 João Lisboa",0,0,0,0,1,0,0,0,1,2
"210560 Joselândia",0,0,1,0,2,0,0,0,0,3
"210570 Lago da Pedra",0,0,0,0,0,0,0,0,8,8
"210594 Lago dos Rodrigues",0,0,1,0,0,0,0,0,0,1
"210592 Lagoa do Mato",0,0,1,0,0,0,0,0,0,1
"210596 Lagoa Grande do Maranhão",0,0,3,0,0,0,0,0,0,3
"210598 Lajeado Novo",0,0,2,0,0,0,0,0,1,3
"210600 Lima Campos",0,0,2,0,0,0,0,0,0,2
"210610 Loreto",0,0,1,0,0,0,0,0,0,1
"210620 Luís Domingues",0,0,2,0,0,0,0,0,0,2
"210632 Maracaçumé",0,0,1,0,0,0,0,0,0,1
"210635 Marajá do Sena",0,1,0,0,0,0,0,0,0,1
"210637 Maranhãozinho",0,0,0,0,0,0,1,0,0,1
"210650 Matinha",0,0,8,0,0,0,0,0,1,9
"210660 Matões",2,0,2,0,0,0,0,0,0,4
"210663 Matões do Norte",0,0,2,0,0,0,0,0,0,2
"210670 Mirador",0,0,3,0,1,0,0,0,0,4
"210675 Miranda do Norte",1,0,4,0,0,0,0,0,3,8
"210680 Mirinzal",0,0,2,0,0,0,0,0,0,2
"210690 Monção",0,0,1,0,0,0,0,0,0,1
"210700 Montes Altos",0,0,2,0,0,0,0,0,0,2
"210710 Morros",0,0,3,0,0,0,0,0,1,4
"210740 Olho d'Água das Cunhãs",0,0,1,0,1,0,0,0,0,2
